"COMMISSIONE","NOMI","ATTO","DATA"
"8 (Lavori pubblici)","Audizioni informali, in videoconferenza, delle Organizzazioni sindacali, con particolare riferimento alla gestione e alla sicurezza delle tratte autostradali A24-A25","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)","13 Luglio 2022"
"8 (Lavori pubblici)","Audizioni informali, in videoconferenza, del Commissario Straordinario per la sicurezza del sistema idrico del Gran Sasso, Corrado Gisonni, del Commissario per la messa in sicurezza delle autostrade A24 e A25, Marco Corsini, e del Commissario ad acta per l'aggiornamento del Piano Economico Finanziario Autostrada A24/A25, Sergio Fiorentino, con particolare riferimento alla gestione e alla sicurezza delle tratte autostradali A24-A25","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)","13 Luglio 2022"
"8 (Lavori pubblici)","Audizione informale, in videoconferenza, del Ministro delle infrastrutture e della mobilità sostenibili, con particolare riferimento alla gestione e alla sicurezza delle tratte autostradali A24-A25","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)","12 Luglio 2022"
"8 (Lavori pubblici)","Audizioni informali, in videoconferenza, di rappresentanti del Comitato Sindaci e Amministratori di Lazio e Abruzzo per la sicurezza e contro il caro-pedaggi A24-A25 e di Strada dei Parchi S.p.A., con particolare riferimento alla gestione e alla sicurezza delle tratte autostradali A24-A25","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)","12 Luglio 2022"
"8 (Lavori pubblici)","Contributo CONFERENZA DELLE REGIONI E DELLE PROVINCE AUTONOME","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)"," 8 Luglio 2022"
"8 (Lavori pubblici)","Audizione informale del Ministro delle infrastrutture e delle mobilità sostenibili","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)"," 5 Luglio 2022"
"8 (Lavori pubblici)","Audizioni informali, in videoconferenza, di rappresentanti di Assaeroporti, Consiglio Superiore dei Lavori Pubblici, ENAC, Aeroporti 2030 e ANCE","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)"," 5 Luglio 2022"
"8 (Lavori pubblici)","Audizioni informali, in videoconferenza di: Presidente dell'AdSP Mare Adriatico Settentrionale, Sindaco di Venezia, Assessore infrastrutture e trasporti della Regione Veneto, Commissario straordinario per il ripristino della funzionalità dell'impianto funiviario di Savona in concessione alla società Funivie S.p.A., Presidente dell'AdSP Mar Ligure Occidentale, Confindustria Savona, FEDERAGENTI, CGIL, CISL, UIL e UGL","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)"," 5 Luglio 2022"
"8 (Lavori pubblici)","Audizioni informali in videoconferenza di ANAS, Presidente della Commissione tecnica Tranvie e sistemi ferroviari istituita presso l'Ordine degli ingegneri della provincia di Roma, ANSFISA, ANCAI, Direttore del Servizio Polizia stradale, ANPAS, UCINA, Assessore allo sviluppo economico della Regione Liguria, Provincia di Savona e PRIMA TRAS","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)"," 4 Luglio 2022"
"8 (Lavori pubblici)","Trasmissione contributo di ASSOUTENTI","Audizioni informali nell'ambito dell'esame del disegno di legge n. 1105 (trasparenza tariffe telefoniche)"," 4 Luglio 2022"
"8 (Lavori pubblici)","Contributo ENEL","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)"," 1 Luglio 2022"
"8 (Lavori pubblici)","Audizioni informali in videoconferenza di rappresentanti di: ACI; ASSTRA; CNA; CONFTRASPORTO; ANCI (Associazione Nazionale Comuni Italiani); ANPCI (Associazione Nazionale Piccoli Comuni d'Italia); UNCEM (Unione Nazionale Comuni Comunità Enti Montani)","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)","28 Giugno 2022"
"8 (Lavori pubblici)","Audizioni informali in videoconferenza di rappresentanti di: FMI (Federazione Motociclistica Italiana); AN.BTI (Associazione Nazionale Bus Turistici Italiani); CLIA (Cruise Lines International Association); ASSO.CAR. (Associazione Nazionale Centri di Controllo); ASSITERMINAL; ASSARMATORI; UNASCA (Unione nazionale autoscuole e studi consulenza automobilistica); CONFARCA (Confederazione Autoscuole Riunite e Consulenti Automobilistici); ANVU (Associazione Professionale Polizia Locale d'Italia); ANCUPM (Associazione Nazionale Comandanti e Ufficiali dei Corpi di Polizia Municipale)","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2646 (d-l 68/2022 Infrastrutture e trasporti)","28 Giugno 2022"
"8 (Lavori pubblici)","Audizione informale dei vertici di Ferrovie dello Stato Italiane sul piano industriale 2022-2031 del Gruppo","Piano industriale 2022-2031 del gruppo","14 Giugno 2022"
"8 (Lavori pubblici)","Audizione in videoconferenza di rappresentanti di IGI - Istituto Grandi Infrastrutture, CONFORMA e Rete Professioni Tecniche","Audizioni informali nell'ambito dell'esame del disegno di legge n. 797 (Libretto dell'infrastruttura)","24 Maggio 2022"
"8 (Lavori pubblici)","Audizione informale in videoconferenza del Presidente della Regione Autonoma della Sardegna","Audizioni informali nell'ambito dell'affare assegnato n. 1093 (Problematiche attinenti alle infrastrutture ferroviarie nelle isole)","17 Maggio 2022"
"8 (Lavori pubblici)","Audizione informale in videoconferenza di rappresentanti di RFI - Rete Ferroviaria Italiana (infrastrutture Sicilia)","Audizioni informali nell'ambito dell'affare assegnato n. 1093 (Problematiche attinenti alle infrastrutture ferroviarie nelle isole)","10 Maggio 2022"
"8 (Lavori pubblici)","Audizione in videoconferenza di rappresentanti di UNACEA - Unione italiana macchine per costruzioni","Audizioni informali nell'ambito dell'esame del disegno di legge n. 1679 (Riordino disposizioni legislative in materia di costruzioni)","10 Maggio 2022"
"8 (Lavori pubblici)","Audizioni di rappresentanti di Covisian, Almaviva, CGIL, CISL, UIL, UGL e ITA Airways","Uffici di Presidenza integrati Commissioni riunite 8ª e 11ª - Audizioni informali in videconferenza sulla vertenza dei lavoratori della società Covisian","10 Maggio 2022"
"8 (Lavori pubblici)","Audizione in videoconferenza di rappresentanti di CONFINDUSTRIA ASSOIMMOBILIARE","Audizioni informali nell'ambito dell'esame del disegno di legge n. 1679 (Riordino disposizioni legislative in materia di costruzioni)","26 Aprile 2022"
"8 (Lavori pubblici)","Audizione informale in videoconferenza del Sindaco di Nuoro, Andrea Soddu","Audizioni informali nell'ambito dell'affare assegnato n. 1093 (Problematiche attinenti alle infrastrutture ferroviarie nelle isole)","12 Aprile 2022"
"8 (Lavori pubblici)","Audizioni in videoconferenza di rappresentanti di Federbeton e Reteimpresa.net","Audizioni informali nell'ambito dell'esame del disegno di legge n. 1679 (Riordino disposizioni legislative in materia di costruzioni)","12 Aprile 2022"
"8 (Lavori pubblici)","Audizione in videoconferenza di rappresentanti dell'EBU European Broadcasting Union","Audizioni informali nell'ambito dell'esame dei disegni di legge nn. 1415 e congiunti (Riforma della RAI)"," 5 Aprile 2022"
"8 (Lavori pubblici)","Audizione informale in videoconferenza dell'architetto Giuseppe Leoni","Audizione informale nell'ambito dell'esame della proposta di nomina n. 109 (Presidente dell'Aero Club d'Italia per il quadriennio 2021-2025)","29 Marzo 2022"
