"COMMISSIONE","NOMI","ATTO","DATA"
"1 (Aff. costituzionali)","INCER - dott. Pierfrancesco Belli (99 Kb) FONDAZIONE ETS (227 Kb)                                                              DOTT.SSA LWOFF (580 Kb)                                                              CONFSAL-SNALV (359 Kb) FONDAZIONE GIMBE (1716 Kb)                                                              Avv. Renate HOLZEISEN (2392 Kb)","Audizioni informali sul ddl n. 2488 (d-l 221/2021 - proroga stato di emergenza e contenimento epidemia Covid-19) e sul ddl n. 2489 (d-l 229/2022 - certificazioni verdi Covid-19 e sorveglianza sanitaria)","19 Gennaio 2022"
"1 (Aff. costituzionali)","prof. LUCIANI (214 Kb)                                                              DPITALY (90 Kb)                                                              DOTT. DONZELLI (1984 Kb)                                                              ASSOSISTEMA CONFINDUSTRIA (373 Kb)                                                                                                                            DOTT. DONZELLI OSSERVATORIO OPEN DATA (1897 Kb)","Audizioni informali sul ddl n. 2488 (d-l 221/2021 - proroga stato di emergenza e contenimento epidemia Covid-19) e sul ddl n. 2489 (d-l 229/2022 - certificazioni verdi Covid-19 e sorveglianza sanitaria)","18 Gennaio 2022"
"1 (Aff. costituzionali)","AVV. PALOMBI (90 Kb)","Audizioni informali sul ddl costituzionale 747 e connessi (sport in Costituzione)","22 Dicembre 2021"
"1 (Aff. costituzionali)","prof. Massimo LUCIANI (216 Kb)","Audizioni informali sul ddl costituzionale 747 e connessi (sport in Costituzione)","21 Dicembre 2021"
"1 (Aff. costituzionali)","CONDAV - Coordinamento nazionale danneggiati da vaccino (132 Kb)                                                              Avv. LUGLI (39 Kb)                                                              Dott. CITRO (1263 Kb)                                                              RETE IN PRESENZA (189 Kb)","Audizioni informali sul ddl 2463 (d-l 172/2021 - obblighi vaccinali e rafforzamento certificazioni verdi Covid-19)","15 Dicembre 2021"
"1 (Aff. costituzionali)","GARANTE PRIVACY (219 Kb)                                                              Dott. BELLAVITE (655 Kb)                                                              CONFLAVORO PMI (1312 Kb)                                                              PROF. COSENTINO (1219 Kb)","Audizioni informali sul ddl 2463 (d-l 172/2021 - obblighi vaccinali e rafforzamento certificazioni verdi Covid-19)"," 7 Dicembre 2021"
"1 (Aff. costituzionali)","Prof. CALAMO SPECCHIA (304 Kb)                                                              Prof. FRAJESE (1789 Kb)                                                              CISL (435 Kb)                                                              UIL (248 Kb)","Audizioni informali sul ddl 2463 (d-l 172/2021 - obblighi vaccinali e rafforzamento certificazioni verdi Covid-19)"," 7 Dicembre 2021"
"1 (Aff. costituzionali)","Prof. OCCHIENA (178 Kb)                                                              Dott. MASTRANGELO (1012 Kb)","Audizioni informali sul ddl 2463 (d-l 172/2021 - obblighi vaccinali e rafforzamento certificazioni verdi Covid-19)"," 6 Dicembre 2021"
"1 (Aff. costituzionali)","Parere Corte dei Conti - Sezioni riunite in sede consultiva (818 Kb)","Audizioni informali sul ddl 2185 (modifica disciplina Corte dei conti)"," 2 Dicembre 2021"
"1 (Aff. costituzionali)","Procuratore generale della Corte dei conti (417 Kb)","Audizioni informali sul ddl 2185 (modifica disciplina Corte dei conti)"," 2 Dicembre 2021"
"1 (Aff. costituzionali)","Prof. Giacinto DELLA CANANEA (371 Kb)                                                              Prof. Fabrizio FRACCHIA (128 Kb)                                                              Prof. Francesco Saverio MARINI (113 Kb)","Audizioni informali sul ddl 2185 (modifica disciplina Corte dei conti)","25 Novembre 2021"
"1 (Aff. costituzionali)","Prof. Gabriele FAVA (62 Kb)                                                              Prof. Massimo LUCIANI (221 Kb)","Audizioni informali sul ddl 2185 (modifica disciplina Corte dei conti)","24 Novembre 2021"
"1ª (Aff. costituzionali) e 2ª (Giustizia)","Prof. Gabriele Bottino (418 Kb)                                                              ANCI (165 Kb)                                                              Delia Castellini - Sindaco Toscolano Maderno (149 Kb)","ESAME DEL DISEGNO DI LEGGE N. 2324 E CONNESSI (RESPONSABILITA' PENALE E E AMMINISTRATIVA-CONTABILE DEI SINDACI)","11 Novembre 2021"
"1ª (Aff. costituzionali) e 2ª (Giustizia)","prof. Bartolomeo ROMANO (379 Kb)","ESAME DEL DISEGNO DI LEGGE N. 2324 E CONNESSI (RESPONSABILITA' PENALE E E AMMINISTRATIVA-CONTABILE DEI SINDACI)"," 4 Novembre 2021"
"1 (Aff. costituzionali)","COMITATO BUS TURISTICI (207 Kb)                                                              Prof. Luca LONGHI (386 Kb)                                                              ASSOUTENTI (121 Kb)                                                              Prof. Marco BASSINI (91 Kb)                                                              Avv. Enrico PELINO (376 Kb)","Audizioni informali sul ddl 2409 (d-l 127/2021 - estensione certificazione verde Covid-19 e rafforzamento screening)"," 3 Novembre 2021"
"1 (Aff. costituzionali)","Garante per la protezione dei dati personali (209 Kb)                                                              ANAV (649 Kb)","Audizioni informali sul ddl 2409 (d-l 127/2021 - estensione certificazione verde Covid-19 e rafforzamento screening)"," 2 Novembre 2021"
"1 (Aff. costituzionali)","AGCM (130 Kb)","ddl 270 (tutela dei minori e dignit? della donna nella comunicazione)","14 Ottobre 2021"
"1 (Aff. costituzionali)","Prof. COSENTINO (516 Kb)                                                              Prof. SIGNORELLI (452 Kb)                                                              ASSTRA (397 Kb)                                                              CONFLAVORO (357 Kb)                                                              Prof. MANGIA (730 Kb)                                                              Prof. CARUSO (228 Kb)                                                              ASSTRA (544 Kb)                                                              Prof. SALMASO (524 Kb)","Audizioni informali sul ddl 2394 (dl 127/21 - estensione green pass)"," 7 Ottobre 2021"
"1 (Aff. costituzionali)","Prof. BOSCATI (414 Kb)                                                              FEDERDISTRIBUZIONE (954 Kb)                                                              SNALV CONFSAL (345 Kb)                                                              UTILITALIA (178 Kb)                                                              CONFARTIGIANATO (269 Kb)                                                              Prof. DONZELLI (6719 Kb)                                                              Prof.ssa CALAMO SPECCHIA (304 Kb)                                                              D.ssa Maria Luisa CHIUSANO (418 Kb)                                                              D.ssa Sara GANDINI (132 Kb)                                                              prof. BIZZARRI (1984 Kb)                                                              CONFIMI Industria (172 Kb)","Audizioni informali sul ddl 2394 (dl 127/21 - estensione green pass)"," 6 Ottobre 2021"
"1 (Aff. costituzionali)","CISL (705 Kb)                                                              ANAV (597 Kb)                                                              Prof. CAZZOLA (770 Kb)                                                              CONFPROFESSIONI (198 Kb)                                                              ASSOLAVORO (776 Kb)                                                              ASSINDATCOLF (216 Kb)                                                              UIL (136 Kb)                                                              CGIL (57 Kb)                                                              ANCE (1071 Kb) Prof. STANZIONE (Garante Protezione Dati Personali) (484 Kb)","Audizioni informali sul ddl 2394 (dl 127/21 - estensione green pass)"," 5 Ottobre 2021"
"1 (Aff. costituzionali)","DOTT.SSA BIGLIO - ANPCI (809 Kb)                                                              PRES. BUSIA - ANAC (2500 Kb)","Audizioni informali sul ddl 2310 e connessi (Indennità di funzione dei sindaci)","22 Settembre 2021"
"1 (Aff. costituzionali)","Dott.ssa SOMMA (163 Kb)","ddl 270 (tutela dei minori e dignit? della donna nella comunicazione)"," 9 Settembre 2021"
"1 (Aff. costituzionali)","RSE Risorse Sistema Energetico (853 Kb)                                                              Prof. DEGANI (294 Kb) ANCI (329 Kb)","Audizioni informali sul ddl 1650 (imprese sociali di comunità)"," 9 Settembre 2021"
"1 (Aff. costituzionali)","CONSOB (125 Kb)","Audizioni informali sul disegno di legge n. 1785 (equilibrio di genere nelle cariche pubbliche)","15 Luglio 2021"
"1 (Aff. costituzionali)","EURICSE (1638 Kb)","Audizioni informali sul ddl 1650 (imprese sociali di comunità)"," 8 Luglio 2021"
"1ª (Aff. costituzionali) e 2ª (Giustizia)","Documento depositato (363 Kb)","ESAME DEL DISEGNO DI LEGGE N. 2272 (D-L 80/2021 - RAFFORZAMENTO PUBBLICHE AMMINISTRAZIONI E GIUSTIZIA)"," 7 Luglio 2021"
"1ª (Aff. costituzionali) e 2ª (Giustizia)","COLAP (823 Kb)                                                              ANMA (429 Kb)                                                              ASSOCIAZIONE TRA I MAGISTRATI DEL CONSIGLIO DI STATO (354 Kb)                                                              CONFERENZA DELLE REGIONI E DELLE PROVINCE AUTONOME (269 Kb)                                                              CODIRP (177 Kb)                                                              ANPCI (340 Kb)                                                              Dott. CANTONE (234 Kb)                                                              ANCI (542 Kb)                                                              UNSCP (269 Kb)                                                              UNSCP-2 (239 Kb)","ESAME DEL DISEGNO DI LEGGE N. 2272 (D-L 80/2021 - RAFFORZAMENTO PUBBLICHE AMMINISTRAZIONI E GIUSTIZIA)"," 1 Luglio 2021"
"1ª (Aff. costituzionali) e 2ª (Giustizia)","ANAC (3581 Kb)                                                              PROF. ELIO BORGONOVI (279 Kb)                                                              UPI (337 Kb)                                                              CISL FP (181 Kb)                                                              FLP (399 Kb)                                                              UILFPL e UILPA (478 Kb)                                                              COSMED (557 Kb)","ESAME DEL DISEGNO DI LEGGE N. 2272 (D-L 80/2021 - RAFFORZAMENTO PUBBLICHE AMMINISTRAZIONI E GIUSTIZIA)","30 Giugno 2021"
"1 (Aff. costituzionali)","PROF. LONGHI (479 Kb)                                                              PROF.SSA ALVISI (491 Kb)                                                              CONFINDUSTRIA RADIO TELEVISIONI (249 Kb)                                                              IAP - ISTITUTO DELL'AUTODISCIPLINA PUBBLICITARIA (3288 Kb)","Audizioni informali sul ddl 270 (tutela dei minori e della dignità della donna nella comunicazione)","24 Giugno 2021"
"1 (Aff. costituzionali)","CONFERENZA DELLE REGIONI E DELLE PROVINCE AUTONOME (205 Kb)","Audizioni informali sul disegno di legge n. 1785 (equilibrio di genere nelle cariche pubbliche)","18 Giugno 2021"
"1 (Aff. costituzionali)","ALLEANZA COOPERATIVE (1147 Kb)                                                              ANPCI (382 Kb)                                                              Forum Terzo Settore (178 Kb)","Audizioni informali sul ddl 1650 (imprese sociali di comunità)","17 Giugno 2021"
"1 (Aff. costituzionali)","Prof.ssa ALLENA (212 Kb)                                                              Associazione GiULiA giornaliste (635 Kb)","Audizioni informali sul ddl 270 (tutela dei minori e della dignità della donna nella comunicazione)","10 Giugno 2021"
"1 (Aff. costituzionali)","Prof. AZZARITI (500 Kb)                                                              Consiglio di Stato - Presidente Marco Lipari (836 Kb)                                                              Prof. LUCIANI (206 Kb)                                                              PROF. SILVESTRI (203 Kb)","Audizioni informali sull'affare assegnato: esame della sentenza della Corte costituzionale n. 48/2021 (Atto n. 802)"," 3 Giugno 2021"
"1 (Aff. costituzionali)","ANAC - Avv. BUSIA (1544 Kb)","Audizioni informali sul disegno di legge n. 1785 (equilibrio di genere nelle cariche pubbliche)"," 3 Giugno 2021"
"1 (Aff. costituzionali)","Prof.ssa TEGA (306 Kb)                                                              LADYNOMICS (938 Kb)","Audizioni informali sul disegno di legge n. 1785 (equilibrio di genere nelle cariche pubbliche)","29 Aprile 2021"
