"COMMISSIONE","NOMI","ATTO","DATA"
"3 (Aff. esteri)","Associazione Comuni Italiani di Frontiera (ACIF) (667 Kb)                                                              Relazione CGIL-CISL-UIL Frontalieri (297 Kb)                                                              Relazione sindacati svizzeri OCST e UNIA (771 Kb)","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2482 (Ratifica Accordi Italia-Svizzera lavoratori frontalieri e doppie imposizioni"," 8 Marzo 2022"
"3 (Aff. esteri)","Consiglio Nazionale dei Giovani (343 Kb)","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa","17 Febbraio 2022"
"3 (Aff. esteri)","Intervento DG Sabbatucci (727 Kb)","Le nuove prospettive geopolitiche nel Corno d'Africa e il ruolo dell'Italia","11 Gennaio 2022"
"3 (Aff. esteri)","Conferenza delle Regioni e delle Province autonome ; Dott. Pier Virgilio DASTOLI - CIME (817 Kb)                                                              ASSONIME (244 Kb)                                                              ABI (151 Kb)                                                              CGIL-CISL-UIL (Documento unitario) (241 Kb)                                                              CISL (Memoria) (835 Kb)                                                              UGL (584 Kb)                                                              CNEL (924 Kb) Banca d'Italia (890 Kb)                                                              ANCI (547 Kb)","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa"," 6 Dicembre 2021"
"3 (Aff. esteri)","Movimento Federalista europeo e Associazione Gioventù Federalista europea (1249 Kb)","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa","29 Novembre 2021"
"3 (Aff. esteri)","Intervento Gen. Del Vecchio (231 Kb)","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan","16 Novembre 2021"
"3 (Aff. esteri)","Intervento Vice Ministra Sereni (517 Kb)","Audizioni informali sull'Affare assegnato ""Italia e Africa tra aree di crisi, opportunità e possibilità di partenariato""","10 Novembre 2021"
"3 (Aff. esteri)","Intervento Presidente CISDA Onlus, Gabriella Gagliardo (316 Kb)","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan"," 9 Novembre 2021"
"3 (Aff. esteri)","Conferenza dei Presidenti delle Assemblee legislative delle Regioni e delle Province autonome ; Comitato europeo delle Regioni ; UPI ; UNCEM (187 Kb) Corte dei conti (419 Kb)","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa"," 8 Novembre 2021"
"3 (Aff. esteri) ; 4 (Difesa)","Alberto Negri, giornalista ; Luciano Pezzotti, ambasciatore","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan","26 Ottobre 2021"
