"COMMISSIONE","NOMI","ATTO","DATA"
"5ª (Bilancio) e 14ª (Unione europea)","UPI ; Confederazione delle Regioni e delle Province autonome ; UNCEM","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""","15 Giugno 2022"
"14 (Unione Europea)","ANCE ; Confedilizia ; Casavo ; Confindustria Assoimmobiliare ; Consiglio Nazionale dei Centri Commerciali ; Federazione ANIMA ; Free2move eSolutions ; Green Building Council Italia ; CNA","Esame dell'atto COM (2021) 802 def. (Prestazione energetica nell'edilizia)","24 Maggio 2022"
"5ª (Bilancio) e 14ª (Unione europea)","Maria Rosaria Carfagna, Ministro per il Sud e la Coesione territoriale","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021"""," 5 Aprile 2022"
"14 (Unione Europea)","Confargianato","Esame dell'atto COM (2021) 762 def. (Miglioramento delle condizioni di lavoro nel lavoro mediante piattaforme digitali)","30 Marzo 2022"
"14 (Unione Europea)","Pasquale Tridico, Presidente dell'INPS ; Prof. Marco Scialdone ; Prof. Gianluca Sgueo ; Prof. Nicola Ferrigni ; Dott. Roberto Falcone, Segretario generale ASSOPROFESSIONI ; Prof.ssa Annamaria Donini ; Prof. Giuseppe Antonio Recchia ; Prof. Maurizio del Conte ; Dott.ssa Lucilla Deleo, responsabile Rapporti istituzionali di Search on Media Group","Esame dell'atto COM (2021) 762 def. (Miglioramento delle condizioni di lavoro nel lavoro mediante piattaforme digitali)","29 Marzo 2022"
"5ª (Bilancio), 8ª (Lavori pubblici) e 14ª (Unione europea)","Ministro delle infrastrutture e della mobilità sostenibili, Enrico Giovannini","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""","23 Marzo 2022"
"5ª (Bilancio), 7ª (Pubbl. istruzione) e 14ª (Unione europea)","Ministro dell'università e della ricerca, Maria Cristina Messa","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""","22 Marzo 2022"
"5ª (Bilancio), 7ª (Pubbl. istruzione) e 14ª (Unione europea)","Ministro dell'istruzione, Patrizio Bianchi","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""","22 Marzo 2022"
"5ª (Bilancio), 10ª (Industria), 13ª (Ambiente) e 14ª (Unione europea)","Ministro della transizione ecologica, Roberto Cingolani","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""","10 Marzo 2022"
"1ª (Aff. costituzionali), 5ª (Bilancio), 11ª (Lavoro) e 14ª (Unione europea)","Ministro per le pari opportunità e la famiglia, Elena Bonetti","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""","10 Marzo 2022"
