"COMMISSIONE","NOMI","ATTO","DATA"
"2ª Giustizia","RETE PER LA PARITA' (2) (292 Kb)                                                              BASSU (1076 Kb)                                                              MONACO (380 Kb)                                                              DOGLIOTTI (61 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 170 E CONNESSI (COGNOME DEI FIGLI)"," 5 Luglio 2022"
"2ª Giustizia","DOTT. CACACE (277 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 922 E CONNESSI (ORIGINI BIOLOGICHE)"," 5 Luglio 2022"
"2ª Giustizia","Luciano TROVATO (1126 Kb)                                                              Luciano TROVATO (1126 Kb) EMILIA ROSATI (0 Kb)                                                              FAEGIN (525 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 922 E CONNESSI (ORIGINI BIOLOGICHE)"," 5 Luglio 2022"
"2ª (Giustizia) e 6ª (Finanze)","Associazione Nazionale Tributaristi LAPET (824 Kb)                                                              Comitato Intermagistrature (122 Kb)                                                              Prof. Avv. Giuseppe Melis (880 Kb)                                                              Prof. Avv. Guglielmo Maisto (267 Kb)                                                              Prof. Francesco Tundo (409 Kb)                                                              Associazione Magistrati Tributari (AMI) (385 Kb)                                                              Prof. Pietro Bracco (182 Kb)                                                              Unione Nazionale Camere Avvocati Tributaristi (UNCAT) (328 Kb)                                                              Avv. Michele Tiengo (333 Kb)                                                              Prof. Andrea Giovanardi (175 Kb)                                                              Dott. Alberto Liguori (250 Kb)                                                              Associazione dei Dottori Commercialisti e degli Esperti Contabili (293 Kb) Dott.ssa Lucia Picone (804 Kb)                                                              Dott. Raffaele Ceniccola (366 Kb)","Atto Senato n. 2636 - Disposizioni in materia di giustizia e di processo tributari","28 Giugno 2022"
"2ª Giustizia","LAMI (38 Kb)                                                              Alessandra SIMONE - Questore di Savona (118 Kb)                                                              MONTELEONE","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 2530 E CONNESSI (VIOLENZA DOMESTICA)","20 Giugno 2022"
"2ª Giustizia","CNF (271 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEL DISEGNO DI LEGGE N. 2595 (ORDINAMENTO GIUDIZIARIO E CSM)","24 Maggio 2022"
"2ª Giustizia","CASTELLI (71 Kb) CAMERINI (110 Kb)                                                              MAZZOLA (292 Kb)                                                              Lilia AZEVEDO (70 Kb)                                                              ALDROVANDI (299 Kb) MENDITTO (829 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 2530 E CONNESSI (VIOLENZA DOMESTICA)","17 Maggio 2022"
"2ª Giustizia","AVVOCATO GENERALE DELLO STATO PALMIERI (183 Kb)                                                              RACANELLI (244 Kb)                                                              AIROMA (545 Kb)                                                              FERRANTE- AUAPS (10556 Kb) TARTAGLIA POLCINI (190 Kb) AMM ASSOCIAZIONE MAGISTRATI MILITARI (153 Kb)                                                              PICARDI (1) (249 Kb)                                                              PICARDI (2) (246 Kb)                                                              PICARDI (3) (179 Kb)                                                              PICARDI (4) (245 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEL DISEGNO DI LEGGE N. 2595 (ORDINAMENTO GIUDIZIARIO E CSM)","11 Maggio 2022"
"2ª Giustizia","VERTALDI - Tribunale di Sorveglianza di Roma (365 Kb)                                                              PAVARIN - Tribunale di sorveglianza di Trieste (199 Kb)                                                              LEONE - Presidente Tribunale di Sorveglianza Di Palermo (257 Kb)","DOCUMENTI ACQUISITI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 2574 E 2465 (BENEFICI PENITENZIARI E ERGASTOLO OSTATIVO)","10 Maggio 2022"
"2ª Giustizia","AVV. ANSELMO (313 Kb)                                                              DOTT. GANDOLFINI (282 Kb)                                                              RETE PER LA PARITA' (208 Kb)                                                              TASSARA (2703 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 170 E CONNESSI (COGNOME DEI FIGLI)","26 Aprile 2022"
"2ª Giustizia","ASTRO NASCENTE (319 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 922 E CONNESSI (ORIGINI BIOLOGICHE)","26 Aprile 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione cons. Piercamillo DAVIGO (273 Kb)                                                              Audizione prof. avv. Giovanni GIRELLI (749 Kb)                                                              Audizione prof. Fabrizio AMATUCCI (1798 Kb)                                                              Audizione prof. Giacinto DELLA CANANEA (399 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","12 Aprile 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione avv. Maurizio VILLANI (175 Kb)                                                              Audizione dott. Alberto LIGUORI (375 Kb)                                                              Audizione prof.ssa avv. Livia SALVINI (338 Kb)                                                              Audizione dott. Massimo SCUFFI (671 Kb)                                                              Audizione avv. Davide DRUDA (208 Kb)                                                              Audizione prof. avv. Andrea GIOVANARDI (107 Kb)                                                              Audizione prof. Domenico CHINDEMI (522 Kb)                                                              Audizione prof. Domenico CHINDEMI - Allegato (127 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 5 Aprile 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione Prof. Avv. Giuseppe MELIS (467 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","29 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione Prof. Avv. Massimo BASILAVECCHIA (445 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","29 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione dott. Paolo Luigi REBECCHI per la Corte dei conti (192 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","29 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione Prof. Eugenio DELLA VALLE (588 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","29 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione Avv. Michele Tiengo (277 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","22 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione del Prof. Avv. Cesare Glendi (2640 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","22 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione del Prof. Avv. Guglielmo Maisto (234 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","22 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione dell'Avv. Francesco Lucifora (609 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","22 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione del Consiglio di Presidenza della Giustizia tributaria (433 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","15 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione del Consiglio Nazionale Forense (2903 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","15 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione prof. avv. Maurizio Leo (133 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687","15 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione ADC (954 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 8 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione AMT (285 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 8 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione ANC (988 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 8 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione ANCOT (564 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 8 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione dott.ssa Luciana CUNICELLA (1774 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 8 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione INT (745 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 8 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione OCF (658 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 8 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione LAPET (677 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 8 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione di ANTI (8620 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 1 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione CNDCEC (181 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 1 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione Comitato Intermagistrature (111 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 1 Marzo 2022"
"2ª (Giustizia) e 6ª (Finanze)","Audizione UNCAT (351 Kb)","Discussione congiunta dei disegni di legge nn. 243, 714, 759, 1243, 1661 e 1687"," 1 Marzo 2022"
"2ª Giustizia","AVV. DOMENICO PUTZOLU (84 Kb)                                                              AVV. GRUSSU (677 Kb)                                                              AVV. ROBERTO NANNELLI (2503 Kb)                                                              ORDINE AVVOCATI SCIACCA (3193 Kb)                                                              ORDINE AVVOCATI SPOLETO (264 Kb)                                                              AVV. PILERI 1 (832 Kb)                                                              AVV. PILERI 2 (12874 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 758, 1948 E 2139 (GEOGRAFIA GIUDIZIARIA)"," 9 Dicembre 2021"
"2ª Giustizia","D'ANIELLO (27 Kb)                                                              GIANNI LEGGIERI (594 Kb)                                                              ORDINE FORENSE ABRUZZESI (1115 Kb)                                                              TIRABASSI, PRESIDENTE ORDINE AVVOCATI SULMONA (3084 Kb)                                                              GIUSEPPE MAIOLINO, PEDEMONTANA VENETA (64 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 758, 1948 E 2139 (GEOGRAFIA GIUDIZIARIA)","30 Novembre 2021"
"2ª Giustizia","CNA (283 Kb)                                                              FNOMCEO (256 Kb)                                                              OCF (175 Kb)","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 1425 E 2419 (EQUO COMPENSO PRESTAZIONI PROFESSIONALI)","30 Novembre 2021"
