"COMMISSIONE","NOMI","ATTO","DATA"
"12ª (Sanita') e 13ª (Ambiente)","FEDERMEP ; AISAD ; Associazione italiana aracnologia ; ENCI ; AIPA","Audizioni AG n. 383 (fauna selvatica ed esotica)","20 Giugno 2022"
"12ª (Sanita') e 13ª (Ambiente)","FIDC ; ASSALCO ; FOI ; LAV ; WWF-Lipu-Legambiente","Audizioni AG n. 383 (fauna selvatica ed esotica)","15 Giugno 2022"
"12ª (Sanita') e 13ª (Ambiente)","ANMVI ; SIVAE ; FNOVI","Audizioni AG n. 383 (fauna selvatica ed esotica)","14 Giugno 2022"
"13 (Ambiente)","Orellana","ddl 2392 e abbinati","26 Maggio 2022"
"13 (Ambiente)","Federchimica","ddl 2392 e abbinati","28 Aprile 2022"
"13 (Ambiente)","ARPA Valle d'Aosta","AA n. 1094 (scioglimento ghiacciai alpini)","13 Aprile 2022"
"13 (Ambiente)","Fondazione Montagna sicura","AA n. 1094 (scioglimento ghiacciai alpini)","13 Aprile 2022"
"13 (Ambiente)","Comitato Glaciologico Italiano","AA n. 1094 (scioglimento ghiacciai alpini)","13 Aprile 2022"
"13 (Ambiente)","ANBI Veneto","ddl 2392 e abbinati","12 Aprile 2022"
"13 (Ambiente)","Medicina Democratica","ddl 2392 e abbinati","12 Aprile 2022"
"13 (Ambiente)","Regione Lombardia","ddl 2392 e abbinati","12 Aprile 2022"
"13 (Ambiente)","Coordinamento Agrinsieme","ddl 2392 e abbinati","12 Aprile 2022"
"13 (Ambiente)","Arpa Veneto","ddl 2392 e abbinati"," 5 Aprile 2022"
"13 (Ambiente)","Arpa Lombardia","ddl 2392 e abbinati"," 5 Aprile 2022"
"13 (Ambiente)","Arpa Piemonte","ddl 2392 e abbinati"," 5 Aprile 2022"
"13 (Ambiente)","Regione Emilia Romagna","ddl 2392 e abbinati"," 5 Aprile 2022"
"13 (Ambiente)","regione Piemonte","ddl 2392 e abbinati"," 5 Aprile 2022"
"13 (Ambiente)","Regione Veneto","ddl 2392 e abbinati"," 5 Aprile 2022"
"13 (Ambiente)","Mamme no PFAS","ddl 2392 e abbinati","29 Marzo 2022"
"13 (Ambiente)","Medici per l'ambiente - ISDE","ddl 2392 e abbinati","29 Marzo 2022"
"13 (Ambiente)","Istituto Superiore di Sanità","ddl 2392 e abbinati","28 Marzo 2022"
"13 (Ambiente)","IRSA CNR","ddl 2392 e abbinati","28 Marzo 2022"
"5ª (Bilancio), 10ª (Industria), 13ª (Ambiente) e 14ª (Unione europea)","Ministro della transizione ecologica, Roberto Cingolani","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""","10 Marzo 2022"
"13 (Ambiente)","Conferenza delle Regioni e delle Province autonome","ddl 1131 (Rigenerazione urbana)","19 Novembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Alleanza per il fotovoltaico in Italia su schema di parere","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","21 Ottobre 2021"
"10ª (Industria) e 13ª (Ambiente)","ANCE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","12 Ottobre 2021"
"10ª (Industria) e 13ª (Ambiente)","CESI","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","12 Ottobre 2021"
"10ª (Industria) e 13ª (Ambiente)","ERG SpA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)"," 8 Ottobre 2021"
"10ª (Industria) e 13ª (Ambiente)","ENEA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)"," 4 Ottobre 2021"
"10ª (Industria) e 13ª (Ambiente)","ENI","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","30 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Assocostieri","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","30 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Confagricoltura","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)","28 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Illumia SpA","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","28 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Confindustria","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)","28 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Agrinsieme","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","28 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Federdistribuzione","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","28 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Direzione mare e coste del MITE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","27 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Confcommercio","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","27 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","ANIE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","27 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","ANIE","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","27 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Movimento consumatori","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","27 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","RWE Renewables Italia","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Confcommercio","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Confartigianato","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Federazione ANIMA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Renexia","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Anigas","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Movimento consumatori","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Renexia","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Anigas","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","CNA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Alleanza delle cooperative","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","24 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","GSE ; Acquirente unico","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","GSE ; Acquirente unico","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Unione energie per la mobilità ; Consorzio italiano biogas","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Altroconsumo","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Federchimica - Assogasliquidi","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Utilitalia","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","A2A","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","UDICON","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Confartigianato Imprese","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","prof. Coiro","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","CNA","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Alleanza delle cooperative italiane","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)","23 Settembre 2021"
"10ª (Industria) e 13ª (Ambiente)","Utilitalia","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)","23 Settembre 2021"
