"COMMISSIONE","NOMI","ATTO","DATA"
"7 (Pubbl. istruzione)","Documento trasmesso dal senatore Marilotti","Affare Assegnato n. 873 (Rilancio del settore archivistico)","30 Agosto 2022"
"7 (Pubbl. istruzione)","Documento trasmesso dal prof. Carruba, ARNAS_CIVICO e prof. Pupillo, docente IPSSEOA","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco","26 Agosto 2022"
"7 (Pubbl. istruzione)","Audizione informale di rappresentanti dell'Istituto per la promozione e valorizzazione della dieta mediterranea (IDIMED), della Federazione italiana cuochi e del prof. Petrillo, esperto","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco","14 Luglio 2022"
"7 (Pubbl. istruzione)","Audizione informale di rappresentanti di SKY, di Paramount Global e di SLC CGIL","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)","13 Luglio 2022"
"7 (Pubbl. istruzione)","Audizione informale di rappresentanti del Consorzio parmigiano reggiano e del Consorzio prosciutto di Parma","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco","13 Luglio 2022"
"7 (Pubbl. istruzione)","Audizione informale del dott. Stefano Pisani, Sindaco di Pollina e di rappresentanti di Fondazione UniVerde","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco"," 6 Luglio 2022"
"7 (Pubbl. istruzione)","Audizione informale del dott. Luca Barbareschi - produttore","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)"," 6 Luglio 2022"
"7 (Pubbl. istruzione)","Audizione informale di rappresentanti di Cartoon Italia, WeShort e APS RAAI Registro attori attrici italiani","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)"," 5 Luglio 2022"
"7 (Pubbl. istruzione)","Audizione informale di rappresentanti dell'Academia Barilla, dell'ALMA S.r.l. Scuola internazionale di cucina italiana e dell'Associazione italiana di dietetica e nutrizione clinica- Sez. Sicilia","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco","29 Giugno 2022"
"7 (Pubbl. istruzione)","CISL (435 Kb)                                                              CGIL (68 Kb)                                                              UIL E UIL SCUOLA (293 Kb)","ddl 2527 e 2611 (Fondo comunità educante - patti di comunità)","28 Giugno 2022"
