"nome","nome_esteso","tipologia","ambito_interesse"
"ACIMIT","Associazione Costruttori Italiani di Macchinario per l'Industria Tessile","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"FEDERMACCHINE","AMAFOND","Associazione di Sottosettore",""
"FEDERMACCHINE","Federazione Nazionale delle Associazioni dei Produttori di Beni Strumentali destinati allo Svolgimento di Processi Manifatturieri dell'Industria e dell'Artigianato","",""
"ASSOMAC","Associazione Nazionale Costruttori Tecnologie per Calzature, Pelletteria e Conceria","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"FEDERMACCHINE","Federazione Nazionale delle Associazioni dei Produttori di Beni Strumentali destinati allo Svolgimento di Processi Manifatturieri dell'Industria e dell'Artigianato","",""
"FEDERMACCHINE","FEDERTEC","Associazione di Sottosettore",""
"FEDERMACCHINE","GIMAV","Associazione di Sottosettore",""
"UCIMA","UCIMA - Unione Costruttori Italiani Macchine Automatiche per il Confezionamento e l'Imballaggio","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"UCIMU","UCIMU - SISTEMI PER PRODURRE","Associazione di Categoria","Costruzione macchinario, apparecchiature e meccanica varia, meccanica fine ed ottica"
"FEDERTRASPORTO","Federazione Nazionale dei Sistemi e delle Modalità di Trasporto e delle Attività Connesse","Rappresentanza di Settore","Trasporti"
"AGENS","Agenzia Confederale dei Trasporti e Servizi","Associazione di Categoria","Trasporti"
"AISCAT","Associazione Italiana Società Concessionarie Autostrade e Trafori","Associazione di Categoria","Trasporti"
"ANAV","Associazione Nazionale Autotrasporto Viaggiatori","Associazione di Categoria","Trasporti"
"ANITA","Associazione Nazionale Imprese Trasporti Automobilistici","Associazione di Categoria","Trasporti"
"ASSAEROPORTI","Associazione Italiana Gestori Aeroporti","Associazione di Categoria","Trasporti"
"FEDERTRASPORTO","ASSO.H.POSTETRASPORTI","Associazione di Sottosettore",""
"FEDERTRASPORTO","Federazione Nazionale dei Sistemi e delle Modalità di Trasporto e delle Attività Connesse","",""
"FEDERTRASPORTO","UIR - Unione Interporti Riuniti","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","Federazione Nazionale dell'Industria dei Viaggi e del Turismo","Rappresentanza di Settore","Turismo"
"FEDERTURISMO CONFINDUSTRIA","ACI - Automobile Club d'Italia","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","Aidit","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","AIG","Associazione di Sottosettore",""
"ANEF","Associazione Nazionale degli Esercenti Funiviari","Associazione di Categoria","Turismo"
"FEDERTURISMO CONFINDUSTRIA","ANESV - Associazione Nazionale Esercenti Spettacoli Viaggianti","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","ANIASA - Associazione Noleggiatori Italiani Autoveicoli Senza Autista","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","ASSITAI","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","ASSOBALNEARI ITALIA - Associazione Imprenditori Balneari","Associazione di Sottosettore",""
"ASSOCIAZIONE ITALIANA CONFINDUSTRIA ALBERGHI","Associazione Italiana Confindustria Alberghi","Associazione di Categoria",""
"FEDERTURISMO CONFINDUSTRIA","Federazione Nazionale dell'Industria dei Viaggi e del Turismo","",""
"FEDERTURISMO CONFINDUSTRIA","ASSOINTRATTENIMENTO","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","ASSOMARINAS - Associazione Italiana Porti Turistici","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","ASTOI - Confindustria Viaggi","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","ATRI","Associazione di Sottosettore",""
"CONFINDUSTRIA NAUTICA","Confindustria Nautica","Associazione di Categoria","Costruzione mezzi di trasporto"
"FEDERTURISMO CONFINDUSTRIA","C.S.A.IN. Circoli Sportivi Aziendali e Industriali","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","Federcatering","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","Federcongressi&eventi","Associazione di Sottosettore",""
"FEDERTERME","Federazione Italiana delle Industrie Termali, delle Acque Minerali e del Benessere Termale","Associazione di Categoria","Turismo"
"FEDERTURISMO CONFINDUSTRIA","Federazione Nazionale dell'Industria dei Viaggi e del Turismo","",""
"FEDERTURISMO CONFINDUSTRIA","Fondazione Italia Cina","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","MUSEIMPRESA - Associazione Nazionale Musei e Archivi d'Impresa","Associazione di Sottosettore",""
"FEDERTURISMO CONFINDUSTRIA","Touring Club Italiano","Associazione di Sottosettore",""
"FEDERVEICOLI","Federazione delle Associazioni Nazionali di Costruttori Veicoli e Componenti","Rappresentanza di Settore",""
"FEDERVEICOLI","Federazione delle Associazioni Nazionali di Costruttori Veicoli e Componenti","",""
"ANFIA","ANFIA - Associazione Nazionale della Filiera Industria Automobilistica","Associazione di Categoria","Costruzione mezzi di trasporto"
"FEDERVEICOLI","Federazione delle Associazioni Nazionali di Costruttori Veicoli e Componenti","",""
