"nome","nome_esteso","tipologia","ambito_interesse"
"CONFINDUSTRIA PROFESSIONI E MANAGEMENT","Federazione dei servizi alle imprese a prevalente contenuto head made","Federazione di Settore",""
"ASSOCONSULT","Confindustria ASSOCONSULT - Associazione delle Imprese di Consulenza di Management","Associazione di Categoria","Servizi innovativi e tecnologici"
"OICE","Associazione Italiana delle Organizzazioni di Ingegneria, di Architettura e di Consulenza Tecnico Economica","Associazione di Categoria","Servizi innovativi e tecnologici"
"CONFINDUSTRIA PROFESSIONI E MANAGEMENT","UNA - Aziende della Comunicazione Unite","Associazione di Sottosettore",""
