"nome","nome_esteso","tipologia","ambito_interesse"
"ANIMA","COMACART - Costruttori macchine per cartiere","Associazione di Sottosettore",""
"ANIMA","COMAPA - Unione costruttori macchine ed attrezzature per autofficine","Associazione di Sottosettore",""
"ANIMA","COMIMET - Costruttori minuterie metalliche","Associazione di Sottosettore",""
"ANIMA","COMIRE - Costruttori strumenti ed apparecchi di misura e regolazione","Associazione di Sottosettore",""
"ANIMA","COMPO - Associazione costruttori compressori, pompe ed accessori per il trattamento aria","Associazione di Sottosettore","Compressori, pompe ed accessori per il trattamento aria"
"ANIMA","COMPROVA - Gruppo costruttori macchine di prove tecnologiche per laboratori e collaudi","Associazione di Sottosettore",""
"ANIMA","Costruttori ingranaggi ed organi di trasmissione","Associazione di Sottosettore",""
"ANIMA","Costruzioni metalliche in genere","Associazione di Sottosettore",""
"ANIMA","FACAP - Fabbricanti articoli casalinghi in acciaio porcellanato","Associazione di Sottosettore",""
"ANIMA","FIAC - Associazione Fabbricanti Italiani Articoli per la casa, la tavola ed affini","Associazione di Sottosettore","Articoli casalinghi"
"ANIMA","ITALCOGEN - Associazione dei costruttori e distributori di impianti di cogenerazione","Associazione di Sottosettore","Impianti di cogenerazione"
"ANIMA","ITALMOT - Associazione costruttori motori a combustione interna","Associazione di Sottosettore",""
"ANIMA","MACHINPACK - Costruttori macchine per condizionamento merci e prodotti","Associazione di Sottosettore",""
"ANIMA","SIDERMACCHINE - Costruttori macchine per lavorazione metalli e siderurgia","Associazione di Sottosettore",""
"ANIMA","UAMI - Associazione aziende di costruzione e montaggio impianti industriali","Associazione di Sottosettore","Montaggio impianti industriali"
"ANIMA","UCAOP - Costruttori apparecchiature oleoidrauliche e pneumatiche","Associazione di Sottosettore",""
"ANIMA","UCC - Associazione costruttori caldareria","Associazione di Sottosettore","Caldareria"
"ANIMA","UCIF - Unione costruttori impianti finitura","Associazione di Sottosettore","Impianti finitura"
"ANIMA","UCIP - Unione costruttori impianti petroliferi","Associazione di Sottosettore",""
"ANIMA","UCIR - Unione costruttori italiani di ruote","Associazione di Sottosettore","Ruote"
"ANIMA","UCISP - Unione Costruttori Italiani Strumenti per pesare","Associazione di Sottosettore",""
"ANIMA","UCLAINOX - Costruttori lavelli in acciaio inossidabile","Associazione di Sottosettore",""
"ANIMA","UCMOL - Costruttori molle in ferro e acciaio","Associazione di Sottosettore",""
"ANIMA","UCoMESA - Unione costruttori macchine edili, stradali, minerarie ed affini","Associazione di Sottosettore","Macchine edili, stradali, minerarie ed affini"
"ANIMA","UCRS - Unione costruttori regolatori per gas","Associazione di Sottosettore","Regolatori per gas"
"ANIMA","UCT - Unione costruttori turbine","Associazione di Sottosettore","turbine idrauliche, a vapore, a gas ed eoliche"
"ANIMA","UIDA - Unione imprese difesa ambiente","Associazione di Sottosettore","impianti ed apparecchiature per la difesa dell’ambiente"
"ANIMA","UMAN - Unione costruttori materiali antincendio","Associazione di Sottosettore","Materiali antincendio"
"ANIMA","UNAC - Associazione costruttori di infissi motorizzati e automatismi per serramenti in genere","Associazione di Sottosettore","Infissi motorizzati e automatismi per serramenti in genere"
"ANIMA","UNIEF - Unione italiana estrusori a freddo","Associazione di Sottosettore",""
"ANIMA","Unione costruttori impianti ed attrezzature per produzioni chimiche","Associazione di Sottosettore",""
"ANIMA","UNIPSA - Costruttori porte di sicurezza per abitazioni","Associazione di Sottosettore",""
"ANIMA","UNITT - Unione nazionale industrie trattamenti termici","Associazione di Sottosettore","Trattamenti termici"
"ANIMA","UNSER - Costruttori serrande per porte e cancelli metallici","Associazione di Sottosettore",""
"ANIMA","USAB - Unione smaltatori ed affini e bombole","Associazione di Sottosettore",""
"CONFINDUSTRIA CERAMICA","Confindustria Ceramica","Federazione di Settore","Piastrelle di ceramica, materiali refrattari, laterizi, ceramica sanitaria, porcellane e ceramiche per uso domestico e ornamentale e per uso industriale, grès ceramico"
"FEDERAZIONE CARTA E GRAFICA","Federazione Carta e Grafica","Federazione di Settore",""
"FEDERAZIONE CARTA E GRAFICA","ACIMGA - Associazione Costruttori Italiani Macchine per l'industria Grafica, Cartotecnica, Cartaria di Trasformazione e Affini","Associazione di Sottosettore",""
"FEDERAZIONE CARTA E GRAFICA","ASSOCARTA - Associazione Italiana fra gli Industriali della Carta, Cartoni e Paste per Carta","Associazione di Sottosettore",""
"FEDERAZIONE CARTA E GRAFICA","ASSOGRAFICI - Associazione Nazionale Italiana Industrie Grafiche, Cartotecniche e Trasformatrici","Associazione di Sottosettore",""
"FEDERAZIONE CARTA E GRAFICA","Comieco","Associazione di Sottosettore",""
"FEDERAZIONE CARTA E GRAFICA","GCT","Associazione di Sottosettore",""
"FEDERAZIONE GOMMA PLASTICA","Federazione Nazionale fra le Industrie della Gomma, Cavi Elettrici ed Affini e delle Industrie Trasformatrici di Materie Plastiche ed Affini","Federazione di Settore","Gomma, plastica"
"FEDERCHIMICA","Federazione Nazionale dell'Industria Chimica","Federazione di Settore","Chimica, farmaceutica"
"FEDERCHIMICA","ASSOCASA - Associazione nazionale detergenti e specialità per l'industria e per la casa","Associazione di Sottosettore","Detergenti e specialità per l'industria e per la casa"
"FEDERCHIMICA","AGROFARMA - Associazione Nazionale Imprese Agrofarmaci","Associazione di Sottosettore","agrofarmaci"
"FEDERCHIMICA","AIA - Associazione Italiana Aerosol","Associazione di Sottosettore",""
"FEDERCHIMICA","AISA - Associazione nazionale imprese salute animale","Associazione di Sottosettore","prodotti per la salute animale"
"FEDERCHIMICA","AISPEC - Associazione nazionale imprese chimica fine e settori specialistici","Associazione di Sottosettore","chimica fine e settori specialistici"
"FEDERCHIMICA","ASCHIMFARMA - Associazione nazionale produttori principi attivi e intermedi per l'industria farmaceutica","Associazione di Sottosettore","materie prime farmaceutiche"
"FEDERCHIMICA","ASSOBASE - Associazione nazionale imprese chimica di base inorganica ed organica","Associazione di Sottosettore","chimica di base"
"FEDERCHIMICA","ASSOBIOTEC - Associazione nazionale per lo sviluppo delle biotecnologie","Associazione di Sottosettore","bioindustria"
"FEDERCHIMICA","ASSOFERTILIZZANTI - Associazione nazionale produttori di fertilizzanti","Associazione di Sottosettore","fertilizzanti"
"FEDERCHIMICA","ASSOFIBRE CIRFS ITALIA - Associazione Nazionale Fibre artificiali e sintetiche","Associazione di Sottosettore","fibre artificiali e sintetiche"
"FEDERCHIMICA","ASSOGASLIQUIDI - Associazione nazionale imprese gas liquefatti","Associazione di Sottosettore","gas liquefatti"
"FEDERCHIMICA","ASSOGASTECNICI - Associazione nazionale imprese gas tecnici, speciali e medicinali","Associazione di Sottosettore","gas tecnici speciali e medicinali"
