"COMMISSIONE","NOMI","ATTO","DATA"
"3 (Aff. esteri)","Associazione Comuni Italiani di Frontiera (ACIF)","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2482 (Ratifica Accordi Italia-Svizzera lavoratori frontalieri e doppie imposizioni",2022-03-08
"3 (Aff. esteri)","CGIL-CISL-UIL Frontalieri","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2482 (Ratifica Accordi Italia-Svizzera lavoratori frontalieri e doppie imposizioni",2022-03-08
"3 (Aff. esteri)","OCST-UNIA, sindacati svizzeri","Audizioni informali nell'ambito dell'esame del disegno di legge n. 2482 (Ratifica Accordi Italia-Svizzera lavoratori frontalieri e doppie imposizioni",2022-03-08
"3 (Aff. esteri)","Consiglio Nazionale dei Giovani","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2022-02-17
"3 (Aff. esteri)","DG Sabbatucci","Le nuove prospettive geopolitiche nel Corno d'Africa e il ruolo dell'Italia",2022-01-11
"3 (Aff. esteri)","Conferenza delle Regioni e delle Province autonome","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","Pier Virgilio Dastoli, CIME Consiglio Italiano Movimento Europeo","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","ASSONIME","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","ABI","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","CGIL-CISL-UIL","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","CISL","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","UGL","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","CNEL","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","Banca d'Italia","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","ANCI","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-12-06
"3 (Aff. esteri)","Movimento Federalista europeo-Associazione Gioventù Federalista europea","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-11-29
"3 (Aff. esteri)","Gen. Del Vecchio","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-11-16
"3 (Aff. esteri)","Vice Ministra Sereni","Audizioni informali sull'Affare assegnato ""Italia e Africa tra aree di crisi, opportunità e possibilità di partenariato""",2021-11-10
"3 (Aff. esteri)","Presidente CISDA Onlus, Gabriella Gagliardo","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-11-09
"3 (Aff. esteri)","Conferenza dei Presidenti delle Assemblee legislative delle Regioni e delle Province autonome","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-11-08
"3 (Aff. esteri)","Comitato europeo delle Regioni","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-11-08
"3 (Aff. esteri)","UPI","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-11-08
"3 (Aff. esteri)","UNCEM","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-11-08
"3 (Aff. esteri)","Corte dei conti","Indagine conoscitiva sulla Conferenza sul Futuro dell'Europa",2021-11-08
"3 (Aff. esteri) ; 4 (Difesa)","Alberto Negri, giornalista","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-26
"3 (Aff. esteri) ; 4 (Difesa)","Luciano Pezzotti, ambasciatore","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-26
"3 (Aff. esteri) ; 4 (Difesa)","Università di Pavia, prof. Gastone Breccia","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-19
"3 (Aff. esteri) ; 4 (Difesa)","ISPI, Amb. Alessandro Minuto Rizzo","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-19
"3 (Aff. esteri)","Benedetto Della Vedova, sottosegretario di Stato per gli affari esteri e la cooperazione internazionale","Indagine conoscitiva sulle condizioni e sulle esigenze delle comunità degli italiani nel mondo",2021-10-19
"3 (Aff. esteri) ; 4 (Difesa) ; III (Aff. esteri) ; IV (Difesa)","Gen. Claudio Graziano","Audizioni informali sulla crisi in Afghanistan e sui possibili scenari successivi",2021-10-13
"3 (Aff. esteri) ; 4 (Difesa)","Lucio Caracciolo, direttore della rivista Limes","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-05
"3 (Aff. esteri) ; 4 (Difesa)","Rossella Miccio, presidente di Emergency","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-05
"3 (Aff. esteri) ; 4 (Difesa)","Fausto Biloslavo, giornalista","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-05
"3 (Aff. esteri) ; 4 (Difesa)","Stefano Di Carlo, direttore Medici Senza Frontiere Italia","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-05
"3 (Aff. esteri) ; 4 (Difesa)","Francesco Segoni, responsabile delle comunicazioni Medici Senza Frontiere Francia","Audizioni informali sull'Affare Assegnato sulla partecipazione italiana all'intervento internazionale in Afghanistan",2021-10-05
"3 (Aff. esteri) ; 4 (Difesa) ; III (Aff. esteri) ; IV (Difesa)","Amb. Ettore Sequi","Audizioni informali sulla crisi in Afghanistan e sui possibili scenari successivi",2021-09-23
"3 (Aff. esteri) ; 4 (Difesa) ; III (Aff. esteri) ; IV (Difesa)","Amb. Stefano Pontecorvo","Audizioni informali sulla crisi in Afghanistan e sui possibili scenari successivi",2021-09-21
"3 (Aff. esteri) ; 4 (Difesa) ; III (Aff. esteri) ; IV (Difesa)","Comandante del COVI, Gen. Portolano","Audizioni informali sulla crisi in Afghanistan e sui possibili scenari successivi",2021-09-15
"3 (Aff. esteri)","Vice Ministro degli Affari esteri e della Cooperazione internazionale, Marina Sereni","Audizioni informali su conflitto intercorso in Israele e Gaza",2021-07-20
"3 (Aff. esteri)","Alessandro Monteduro","Doc. CCLXI, n. 1 (Relazione sulle iniziative finanziate con le risorse del fondo destinato a interventi di sostegno alle popolazioni appartenenti a minoranze cristiane oggetto di persecuzioni nelle aree di crisi (anno 2019))",2021-05-20
"3 (Aff. esteri)","Fondazione Giovanni Paolo II","Doc. CCLXI, n. 1 (Relazione sulle iniziative finanziate con le risorse del fondo destinato a interventi di sostegno alle popolazioni appartenenti a minoranze cristiane oggetto di persecuzioni nelle aree di crisi (anno 2019))",2021-04-29
"3 (Aff. esteri)","Perigeo Onlus","Doc. CCLXI, n. 1 (Relazione sulle iniziative finanziate con le risorse del fondo destinato a interventi di sostegno alle popolazioni appartenenti a minoranze cristiane oggetto di persecuzioni nelle aree di crisi (anno 2019))",2021-04-22
"3 (Aff. esteri)","VIS (Volontariato internazionale per lo sviluppo onlus)","Doc. CCLXI, n. 1 (Relazione sulle iniziative finanziate con le risorse del fondo destinato a interventi di sostegno alle popolazioni appartenenti a minoranze cristiane oggetto di persecuzioni nelle aree di crisi (anno 2019))",2021-04-15
"3 (Aff. esteri)","ICU (Istituto per la cooperazione internazionale universitaria onlus)","Doc. CCLXI, n. 1 (Relazione sulle iniziative finanziate con le risorse del fondo destinato a interventi di sostegno alle popolazioni appartenenti a minoranze cristiane oggetto di persecuzioni nelle aree di crisi (anno 2019))",2021-04-08
"3 (Aff. esteri)","Ambasciatore Incarnato","Doc. CLXXXII, n. 4 e n. 5 (Relazioni sullo stato di attuazione della legge recante norme per la messa al bando delle mine antipersona, relative al primo e al secondo semestre 2019)",2021-03-30
"3 (Aff. esteri) ; 14 (Politiche dell'UE)","Prof. Antonio Selvatici","Audizioni informali sull'Accordo quadro per gli investimenti UE-Cina",2021-03-30
"3 (Aff. esteri)","CICM Campagna Italiana contro le Mine ONLUS","Doc. CLXXXII, n. 4 e n. 5 (Relazioni sullo stato di attuazione della legge recante norme per la messa al bando delle mine antipersona, relative al primo e al secondo semestre 2019)",2020-11-17
"3 (Aff. esteri)","Ambasciatore degli Emirati Arabi Uniti, S.E. Omar Alshamsi","Affare sulle priorità dell'Italia nel quadro dei nuovi equilibri geopolitici nel Medio Oriente allargato",2020-11-03
"3 (Aff. esteri)","Ambasciatore del Libano, S.E. Sig.ra Mira Daher","Affare sulle priorità dell'Italia nel quadro dei nuovi equilibri geopolitici nel Medio Oriente allargato",2020-10-27
"3 (Aff. esteri)","Inviato speciale, Paolo Dionisi","Affare sulle priorità dell'Italia nel quadro dei nuovi equilibri geopolitici nel Medio Oriente allargato",2020-09-30
"3 (Aff. esteri)","Giuseppe Manzo Ambasciatore d'Italia in Argentina","Indagine conoscitiva sulle condizioni e sulle esigenze delle comunità degli italiani nel mondo",2020-09-30
"3 (Aff. esteri)","Marco Petacco, console Generale a Buenos Aires","Indagine conoscitiva sulle condizioni e sulle esigenze delle comunità degli italiani nel mondo",2020-09-30
"3 (Aff. esteri)","Antonio Petrarulo, console Generale a Bahia Blanca","Indagine conoscitiva sulle condizioni e sulle esigenze delle comunità degli italiani nel mondo",2020-09-30
"3 (Aff. esteri)","Mauro Battocchi, ambasciatore d'Italia in Cile","Indagine conoscitiva sulle condizioni e sulle esigenze delle comunità degli italiani nel mondo",2020-09-08
"3 (Aff. esteri)","Ambasciatore della Repubblica Azerbaigian","La posizione dell'Azerbaigian sulla questione armena",2020-07-29
"3 (Aff. esteri)","Ambasciatore di Turchia","Affare sulle priorità dell'Italia nel quadro dei nuovi equilibri geopolitici nel Medio Oriente allargato",2020-07-07
"3 (Aff. esteri)","Presidente della Commissione Consiliare Permanente Affari esteri, emigrazione e immigrazione, sicurezza e ordine pubblico, informazione della Repubblica di San Marino, Paolo Rondelli","Incontro in videoconferenza con la Commissione consiliare permanente affari esteri del Consiglio Grande e Generale della Repubblica di San Marino sulle relazioni tra Italia e San Marino",2020-07-02
