"COMMISSIONE","NOMI","ATTO","DATA"
"1 (Aff. costituzionali)","Prof.ssa DI PORTO","Audizioni informali sull'affare assegnato n. 1144 (Metaverso e le sue implicazioni per l'ordinamento giuridico)",2020-07-14
"1 (Aff. costituzionali)","Prof. DI MARTIN","Audizioni informali sull'affare assegnato n. 1144 (Metaverso e le sue implicazioni per l'ordinamento giuridico)",2020-07-14
"1 (Aff. costituzionali)","prof. CELOTTO","Audizioni informali sull'affare assegnato n. 1144 (Metaverso e le sue implicazioni per l'ordinamento giuridico)",2020-07-06
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Ministro dell'università e della ricerca","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-26
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","dottor Paolo de Rosa","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-24
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","professor Michele Belletti","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-24
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Conferenza delle Regioni e delle Province autonome","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","UPI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANPCI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Confcommercio","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Confprofessioni","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANCE","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","OICE","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","FINCO","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Fondazione Italia Digitale","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","AGDP","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CODIRP","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANMIL","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Comitato NO riforma Concorsi PA","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Save the Children","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","AGE","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","APEI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANCODIS","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CNAM","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANFIS","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","SIPED","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CIDI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","prof. Eugenio Prosperetti","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CIGIL","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-18
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CISL","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-18
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","UIL","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-18
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","SNALS-Confsal","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-18
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","FGU-Federazione Gilda Unams","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-18
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","WWF","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-18
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ISPRA","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-18
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","COMIECO","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-18
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANIEF","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANP","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","AND","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","UDIR","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","DISAL","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANDIS","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ADI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","INDIRE","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","INVALSI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CUN","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CNR","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CUNSF","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Fondazione Agnelli","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","FIDAE","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Consulte provinciali studenti","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CNSU","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-05-17
"1 (Aff. costituzionali)","ENCICLOPEDIA DELLE ARMI , PROF. EDOARDO MORI","Audizioni informali sull'affare assegnato n. 915 (declassificazione di documenti coperti da segreto di Stato)",2020-05-12
"1 (Aff. costituzionali)","ENCICLOPEDIA DELLE ARMI , PROF. EDOARDO MORI","Audizioni informali sull'affare assegnato n. 915 (declassificazione di documenti coperti da segreto di Stato)",2020-05-12
"1 (Aff. costituzionali)","Biagio TESEO","Audizioni informali sull'affare assegnato n. 1144 (Metaverso e le sue implicazioni per l'ordinamento giuridico)",2020-05-05
"1 (Aff. costituzionali)","Fabrizio PAONESSA","Audizioni informali sull'affare assegnato n. 1144 (Metaverso e le sue implicazioni per l'ordinamento giuridico)",2020-05-05
"1 (Aff. costituzionali)","ANITEC-ASSINFORM","Audizioni informali sull'affare assegnato n. 1144 (Metaverso e le sue implicazioni per l'ordinamento giuridico)",2020-05-05
"1 (Aff. costituzionali)","SINDACO DI COMO","Audizioni informali sul ddl 2229 (Spese per minori in comunità o istituiti)",2020-05-03
"1 (Aff. costituzionali)","Ministero interno","Audizioni informali sul ddl 2229 (Spese per minori in comunità o istituiti)",2020-05-03
"1 (Aff. costituzionali)","Prof. Paola CARUCCI","Audizioni informali sull'affare assegnato n. 915 (declassificazione di documenti coperti da segreto di Stato)",2020-04-13
"1 (Aff. costituzionali)","ANCI","Audizioni informali sul ddl 2229 (Spese per minori in comunità o istituiti)",2020-04-13
"1 (Aff. costituzionali)","Associazione Nazionale Piccoli Comuni","Audizioni informali sul ddl 2229 (Spese per minori in comunità o istituiti)",2020-04-07
"1 (Aff. costituzionali)","CISMAI","Audizioni informali sul ddl 2229 (Spese per minori in comunità o istituiti)",2020-04-07
"1 (Aff. costituzionali)","Ordine dei Giornalisti - Consiglio Nazionale","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-04-05
"1 (Aff. costituzionali)","Dott. SUIGO , INWIT","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-31
"1 (Aff. costituzionali)","Prof. PETRILLO","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-29
"1 (Aff. costituzionali)","FERPI","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-29
"1 (Aff. costituzionali)","TRANSPARENCY","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-29
"1 (Aff. costituzionali)","SECNEWGATE","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-29
"1 (Aff. costituzionali)","ENCICLOPEDIA DELLE ARMI , PROF. EDOARDO MORI","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-29
"1 (Aff. costituzionali)","COMIN § PARTNERS","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-29
"1 (Aff. costituzionali)","LOBBYING4CHANGE","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-24
"1 (Aff. costituzionali)","OPEN GATE","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-23
"1 (Aff. costituzionali)","Avv. Zurlo UTOPIA","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-23
"1 (Aff. costituzionali)","INRETE","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-23
"1 (Aff. costituzionali)","Prof. CELOTTO","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-23
"1 (Aff. costituzionali)","FB&Associati","Audizioni informali sul ddl 2495 (rappresentanza di interessi)",2020-03-23
"1 (Aff. costituzionali) ; 5 (Bilancio) ; 11 (Lavoro) ; 14 (Unione europea)","Ministro per le pari opportunità e la famiglia, Elena Bonetti","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""",2020-03-10
"1 (Aff. costituzionali) ; 5 (Bilancio) ; 8 (Lavori pubblici) ; 14 (Unione europea)","Ministro per l'innovazione tecnologica e la transizione digitale, Vittorio Colao.","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""",2020-03-10
"1 (Aff. costituzionali)","BIGLIO ANPCI","Audizioni informali sul ddl 862 (Disciplina rappresentanti di lista)",2020-02-17
"1 (Aff. costituzionali)","ENCICLOPEDIA DELLE ARMI , PROF. EDOARDO MORI","Audizioni informali sul ddl n. 2488 (d-l 221/2021 - proroga stato di emergenza e contenimento epidemia Covid-19) e sul ddl n. 2489 (d-l 229/2022 - certificazioni verdi Covid-19 e sorveglianza sanitaria)",2020-01-19
"1 (Aff. costituzionali)","FONDAZIONE ETS","Audizioni informali sul ddl n. 2488 (d-l 221/2021 - proroga stato di emergenza e contenimento epidemia Covid-19) e sul ddl n. 2489 (d-l 229/2022 - certificazioni verdi Covid-19 e sorveglianza sanitaria)",2020-01-19
"1 (Aff. costituzionali)","DOTT.SSA LWOFF","Audizioni informali sul ddl n. 2488 (d-l 221/2021 - proroga stato di emergenza e contenimento epidemia Covid-19) e sul ddl n. 2489 (d-l 229/2022 - certificazioni verdi Covid-19 e sorveglianza sanitaria)",2020-01-19
"1 (Aff. costituzionali)","CONFSAL-SNALV","Audizioni informali sul ddl n. 2488 (d-l 221/2021 - proroga stato di emergenza e contenimento epidemia Covid-19) e sul ddl n. 2489 (d-l 229/2022 - certificazioni verdi Covid-19 e sorveglianza sanitaria)",2020-01-19
"1 (Aff. costituzionali)","FONDAZIONE GIMBE","Audizioni informali sul ddl n. 2488 (d-l 221/2021 - proroga stato di emergenza e contenimento epidemia Covid-19) e sul ddl n. 2489 (d-l 229/2022 - certificazioni verdi Covid-19 e sorveglianza sanitaria)",2020-01-19
