"COMMISSIONE","NOMI","ATTO","DATA"
"5 (Bilancio)","Ministero dell'Economia e delle Finanze Ragioneria generale dello Stato","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-09-20
"5 (Bilancio) ; 6 (Finanze)","CGIL","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio) ; 6 (Finanze)","ASSISTAL","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio) ; 6 (Finanze)","FEDERDISTRIBUZIONE","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio) ; 6 (Finanze)","FEDIR","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio) ; 6 (Finanze)","UNCAI","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio) ; 6 (Finanze)","PROXIGAS","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio) ; 6 (Finanze)","DAIKIN Air Conditioning Italy S.p.A","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio) ; 6 (Finanze)","ANIEF","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio) ; 6 (Finanze)","Conferenza delle Regioni e delle Province Autonome","A.S. 2685-B - (Conversione in legge del decreto-legge 9 agosto 2022, n. 115, recante misure urgenti in materia di energia, emergenza idrica, politiche sociali e industriali",2020-08-31
"5 (Bilancio)","Ministero dell'Economia e delle Finanze Ragioneria generale dello Stato","A.S. 2469-B (Legge annuale per il mercato e la concorrenza 2021)",2020-08-02
"5 (Bilancio)","Ministero dell'Economia e delle Finanze Ragioneria generale dello Stato","A.S. 2681 - D.L. n. 73/2022 - Semplificazioni fiscali",2020-08-02
"5 (Bilancio)","Ministero dell'Economia e delle Finanze Ragioneria generale dello Stato","A.S. 2651 (Delega al Governo per la riforma fiscale)",2020-08-02
"5 (Bilancio) ; V (Bilancio)","Lilia Cavallari, presidente Ufficio parlamentare di bilancio UPB","Doc. LVII-bis n. 1",2020-07-27
"5 (Bilancio)","Ministero dell'Economia e delle Finanze Ragioneria generale dello Stato","A.S. 2668 (d-l 50/2022 - aiuti, energia e investimenti)",2020-07-13
"5 (Bilancio)","Ministero dell'Economia e delle Finanze Ragioneria generale dello Stato","A.S. 2597 (Revisione modello Forze armate. Delega al Governo)",2020-07-05
"5 (Bilancio)","Ministero dell'Economia e delle Finanze Ragioneria generale dello Stato","A.S. 2598 ( d-l 36/2022 - ulteriori misure attuazione PNRR)",2020-06-22
"5 (Bilancio) ; 14 (Unione europea)","UPI","Esame dell'affare assegnato n. 1055: (Documento CCLXIII, n. 1) ""Prima relazione sullo stato di attuazione del Piano nazionale di ripresa e resilienza (PNRR), riferita all'anno 2021""",2020-06-15
