"COMMISSIONE","NOMI","ATTO","DATA"
"7 (Pubbl. istruzione)","senatore Marilotti","Affare Assegnato n. 873 (Rilancio del settore archivistico)",2022-08-30
"7 (Pubbl. istruzione)","prof. Carruba, ARNAS_CIVICO","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-08-26
"7 (Pubbl. istruzione)","prof. Pupillo, docente IPSSEOA","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-08-26
"7 (Pubbl. istruzione)","Istituto per la promozione e valorizzazione della dieta mediterranea (IDIMED)","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-07-14
"7 (Pubbl. istruzione)","Federazione italiana cuochi","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-07-14
"7 (Pubbl. istruzione)","prof. Petrillo, esperto","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-07-14
"7 (Pubbl. istruzione)","SKY","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)",2022-07-13
"7 (Pubbl. istruzione)","Paramount Global","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)",2022-07-13
"7 (Pubbl. istruzione)","SLC CGIL","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)",2022-07-13
"7 (Pubbl. istruzione)","Consorzio parmigiano reggiano","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-07-13
"7 (Pubbl. istruzione)","Consorzio prosciutto di Parma","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-07-13
"7 (Pubbl. istruzione)","dott. Stefano Pisani, Sindaco di Pollina","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-07-06
"7 (Pubbl. istruzione)","Fondazione UniVerde","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-07-06
"7 (Pubbl. istruzione)","dott. Luca Barbareschi , produttore","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)",2022-07-06
"7 (Pubbl. istruzione)","Cartoon Italia","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)",2022-07-05
"7 (Pubbl. istruzione)","WeShort","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)",2022-07-05
"7 (Pubbl. istruzione)","APS RAAI Registro attori attrici italiani","DDL N. 2147 (imprese cinematografiche e audiovisive indipendenti)",2022-07-05
"7 (Pubbl. istruzione)","Academia Barilla","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-06-29
"7 (Pubbl. istruzione)","ALMA S.r.l. Scuola internazionale di cucina italiana","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-06-29
"7 (Pubbl. istruzione)","Associazione italiana di dietetica e nutrizione clinica Sez. Sicilia","Affare Assegnato n. 1209 (Candidatura de ""La cucina di casa italiana"" a patrimonio culturale immateriale Unesco",2022-06-29
"7 (Pubbl. istruzione)","UIL","ddl 2527 e 2611 (Fondo comunità educante - patti di comunità)",2022-06-28
"7 (Pubbl. istruzione)","UIL SCUOLA","ddl 2527 e 2611 (Fondo comunità educante - patti di comunità)",2022-06-28
"7 (Pubbl. istruzione)","Sottosegretario di Stato alla Presidenza del Consiglio dei ministri con delega allo sport","AG nn. 111 e 112 - Proposte di nomina componenti cda di Sport e salute Spa",2022-06-16
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Ministro dell'università e della ricerca","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-26
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","dottor Paolo de Rosa","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-24
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","professor Michele Belletti, esperti","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-24
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Conferenza delle Regioni","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Province autonome","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","UPI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANPCI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Confcommercio","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Confprofessioni","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANCE","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","OICE","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","FINCO","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Fondazione Italia Digitale","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","AGDP","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CODIRP","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANMIL","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Comitato NO riforma Concorsi PA","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","Save the Children","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-20
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","AGE","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","APEI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANCODIS","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CNAM","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","ANFIS","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","SIPED","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-19
"1 (Aff. costituzionali) ; 7 (Pubbl. istruzione)","CIDI","DDL 2598 (d-l 36/2022 - ulteriori misure attuazione PNRR)",2022-05-19
