"COMMISSIONE","NOMI","ATTO","DATA"
"13 (Ambiente)","Dott.ssa Gaia Checcucci, Direzione generale per la salvaguardia del territorio e delle acque del Ministero dell'ambiente e della tutela del territorio e del mare","AA 93 (nitrati)",2020-11-28
"13 (Ambiente)","Dott.ssa Silvana Salvati, ISPRA","AA 93 (nitrati)",2020-11-28
"13 (Ambiente)","Dott. Giovanni Balestri, consulente tecnico ecoreati","AA 93 (nitrati)",2020-11-20
"13 (Ambiente)","Prof. Campanile, Università Federico II","AA 93 (nitrati)",2020-10-31
"13 (Ambiente)","Prof. Antonio Limone Istituto zooprofilattico sperimentale del Mezzogiorno","AA 93 (nitrati)",2020-10-31
"13 (Ambiente)","Dott. Amedeo D'Antonio Regione Campania","AA 93 (nitrati)",2020-10-31
"13 (Ambiente)","Dott. Giuseppe Onorati ARPAC","AA 93 (nitrati)",2020-10-31
"13 (Ambiente)","Prof. Masini Coldiretti","AA 93 (nitrati)",2020-10-31
"13 (Ambiente)","Presidente Regione Liguria","CROLLO DEL PONTE MORANDI DI GENOVA",2020-10-16
"13 (Ambiente)","Capo Dipartimento Protezione civile","CROLLO DEL PONTE MORANDI DI GENOVA E PIENA GOLE DEL RAGANELLO IN CALABRIA",2020-10-09
"13 (Ambiente)","CORPO DELLE CAPITANERIE DI PORTO","AS 149, 497, 757 e 776 (isole minori)",2020-09-19
"13 (Ambiente)","CETRI TIRES","AS 149, 497, 757 e 776 (isole minori)",2020-09-18
"13 (Ambiente)","ANCIM","ddl	497",2020-09-18
"13 (Ambiente)","FEDERALBERGHI","AS 149, 497, 757 e 776 (isole minori)",2020-09-18
"13 (Ambiente)","ITALIA SOLARE","AS 149, 497, 757 e 776 (isole minori)",2020-09-18
"13 (Ambiente)","SIT","AS 149, 497, 757 e 776 (isole minori)",2020-09-13
"13 (Ambiente)","Dott. Gianni DONIGAGLIA, Presidente ANSPI","AS 149, 497, 757 e 776 (isole minori)",2020-09-11
"13 (Ambiente)","ANIE ENERGIA ANIE ENERGIA","AS 149, 497, 757 e 776 (isole minori)",2020-09-11
"10 (Industria) ; 13 (Ambiente)","Commissari straordinari del Gruppo Ilva SpA","Ilva",2020-08-01
"10 (Industria) ; 13 (Ambiente)","Confindustria","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-22
"13 (Ambiente)","Confindustria-Federchimica","ddl 2392 e abbinati",2020-06-30
