"COMMISSIONE","NOMI","ATTO","DATA"
"2 (Giustizia)","AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-03-07
"2 (Giustizia)","REBEL NETWORK","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-03-07
"2 (Giustizia)","CGIL","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-03-07
"2 (Giustizia)","DOTT. MAZZEO","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-03-07
"2 (Giustizia)","ASSOCIAZIONE GeA Genitori Ancora","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-03-07
"2 (Giustizia)","ONG DIFFERENZA DONNA","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 174 E 662 (COSTRIZIONE MATRIMONIALE NEI CONFRONTI DEI MINORI)",2019-03-07
"2 (Giustizia)","METE ONLUS","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 174 E 662 (COSTRIZIONE MATRIMONIALE NEI CONFRONTI DEI MINORI)",2019-03-07
"2 (Giustizia)","AIDOS","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 174 E 662 (COSTRIZIONE MATRIMONIALE NEI CONFRONTI DEI MINORI)",2019-03-07
"2 (Giustizia)","LINDA SABBADINI","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
"2 (Giustizia)","GIUSTIZIA IN FAMIGLIA, AVV. GIANNECCHINI","AUDIZIONI INFORMALI NELL'AMBITO DELL'ESAME DEI DISEGNI DI LEGGE NN. 45, 118, 735, 768 E 837 (AFFIDO MINORI)",2019-02-14
